,site_name,site_id,site_type,region,strand,transcript_name,transcript_id
12352,Fis DNA-binding-site 128 bases upstream of nrdAp,TU00047,DNA-Binding-Sites,"(2344620, 2344635)",+,nrdAB-yfaE,TU00047
12353,aldB terminator,TU00138,Rho-Independent-Terminators,"(3754906, 3754941)",-,aldB,TU00138
12354,GntR DNA-binding-site 128.5 bases downstream of eddp,TU00227,DNA-Binding-Sites,"(1934576, 1934596)",-,edd-eda,TU00227
12355,aceEF terminator,TU0-45254,Rho-Independent-Terminators,"(127590, 127619)",+,aceEF; aceEF,TU0-45254; TU0-6634
12356,REP67a,REP67A,Repeat-Regions,"(758410, 758445)",-,,
12357,H-NS DNA-binding-site 45 bases downstream of proVp3,TU702,DNA-Binding-Sites,"(2804792, 2804807)",+,proVWX,TU702
12358,amyA terminator,TU0-7461,Rho-Independent-Terminators,"(2007642, 2007674)",+,amyA,TU0-7461
12359,Fis DNA-binding-site 93 bases upstream of valUp,TU00495,DNA-Binding-Sites,"(2520824, 2520839)",+,valUXY-lysV; gltX,TU00495; TU0-6409
12360,edd-eda terminator,TU00227,Rho-Independent-Terminators,"(1932085, 1932105)",-,edd-eda; eda; eda; eda,TU00227; TU26; TU27; TU25
12361,REP158,REP158,Repeat-Regions,"(2256039, 2256075)",+,,
12362,NarL-Pasp59 DNA-binding-site 80 bases upstream of cydDp,TU00254,DNA-Binding-Sites,"(931108, 931115)",-,cydDC,TU00254
12363,gntR terminator,TU0-4523,Rho-Independent-Terminators,"(3577622, 3577652)",-,gntR; gntR; gntR,TU0-4523; TU0-4522; TU0-4521
12364,ArgP DNA-binding-site 334.5 bases upstream of nrdAp,TU00047,DNA-Binding-Sites,"(2344411, 2344431)",+,nrdAB-yfaE,TU00047
12365,uvrA terminator,TU00069,Rho-Independent-Terminators,"(4271007, 4271061)",,uvrA; yjbQR,TU00069; TU0-14122
12366,REP52b,REP52B,Repeat-Regions,"(551397, 551410)",-,,
12367,Lrp DNA-binding-site (BS0-10399),javascript:void(0);,DNA-Binding-Sites,,,,
12368,flhDC terminator,TU0-14785,Rho-Independent-Terminators,"(1977200, 1977254)",-,flhDC; flhDC,TU0-14785; TU00136
12369,SoxS DNA-binding-site 161 bases upstream of aldAp,TU102,DNA-Binding-Sites,"(1488019, 1488039)",+,aldA,TU102
12370,narGHJI terminator,TU00044,Rho-Independent-Terminators,"(1286525, 1286579)",+,narGHJI,TU00044
12371,REP147a,REP147A,Repeat-Regions,"(2146601, 2146636)",+,,
12372,ArcA-Pasp54 DNA-binding-site (BS0-9490),javascript:void(0);,DNA-Binding-Sites,"(3526225, 3526240)",,,
12373,serX terminator (TERM0-1237),TU00510,Rho-Independent-Terminators,"(1097341, 1097380)",-,serX,TU00510
12374,ArcA-Pasp54 DNA-binding-site 340 bases upstream of dcuCp,TU0-1603,DNA-Binding-Sites,"(656416, 656431)",-,dcuC,TU0-1603
12375,dld terminator,TU0-8787,Rho-Independent-Terminators,"(2223961, 2223987)",+,dld,TU0-8787
12376,REP39,REP39,Repeat-Regions,"(443019, 443050)",-,,
12377,Nac DNA-binding-site (BS0-9922),javascript:void(0);,DNA-Binding-Sites,"(3136586, 3136603)",,,
12378,yajG terminator,TU0-12927,Rho-Independent-Terminators,"(453557, 453576)",-,yajG,TU0-12927
12379,Fis DNA-binding-site 143 bases upstream of dusBp,TU00021,DNA-Binding-Sites,"(3410096, 3410111)",+,dusB-fis,TU00021
12380,agrB terminator,TU0-42530,Rho-Independent-Terminators,"(3648348, 3648375)",+,agrB,TU0-42530
12381,REP135b,REP135B,Repeat-Regions,"(1929974, 1930007)",-,,
12382,TdcA DNA-binding-site 177 bases upstream of tdcAp,TU00125,DNA-Binding-Sites,"(3267263, 3267278)",-,tdcABCDEFG,TU00125
12383,metZWV terminator (TERM0-1153),TU00496,Rho-Independent-Terminators,"(2947736, 2947756)",+,metZWV,TU00496
12384,HdfR DNA-binding-site regulating flhDp,TU00136,DNA-Binding-Sites,,-,flhDC,TU00136
12385,mtlADR terminator (TERM0-1124),TU00193,Rho-Independent-Terminators,"(3776277, 3776304)",+,mtlADR,TU00193
12386,REP352g,REP352G,Repeat-Regions,"(4614561, 4614594)",-,,
12387,Fnr DNA-binding-site 303.5 bases upstream of ybdNp,TU0-12993,DNA-Binding-Sites,"(636983, 636997)",-,ybdN,TU0-12993
12388,fadR terminator,TU0-14737,Rho-Independent-Terminators,"(1235677, 1235698)",+,fadR; fadR,TU0-14737; TU0-8794
12389,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of acnAp2,TU794,DNA-Binding-Sites,"(1335730, 1335752)",+,acnA,TU794
12390,sspAB terminator,TU00361,Rho-Independent-Terminators,"(3376249, 3376277)",-,sspAB,TU00361
12391,REP110,REP110,Repeat-Regions,"(1357360, 1357393)",+,,
12392,CreB-Pasp54 DNA-binding-site regulating nudF-yqiB-cpdA-yqiA-parE,TU0-13837,DNA-Binding-Sites,,-,nudF-yqiB-cpdA-yqiA-parE,TU0-13837
12393,sdaA terminator,TU00223,Rho-Independent-Terminators,"(1898307, 1898331)",+,sdaA,TU00223
12394,Lrp DNA-binding-site (BS0-10383),javascript:void(0);,DNA-Binding-Sites,,,,
12395,yjbE terminator,TU0-14111,Rho-Independent-Terminators,"(4236159, 4236209)",+,yjbE,TU0-14111
12396,REP340,REP340,Repeat-Regions,"(4478940, 4478973)",-,,
12397,SlyA DNA-binding-site regulating slyA (BS0-8647),TU0-8511,DNA-Binding-Sites,"(1720841, 1720853)",-,slyA,TU0-8511
12398,dusB-fis terminator,TU00021,Rho-Independent-Terminators,"(3411593, 3411626)",+,dusB-fis,TU00021
12399,ArcA-Pasp54 DNA-binding-site (BS0-9474),javascript:void(0);,DNA-Binding-Sites,"(954751, 954766)",,,
12400,glyQS terminator,TU00281,Rho-Independent-Terminators,"(3722291, 3722310)",-,glyQS,TU00281
12401,REP32c,REP32C,Repeat-Regions,"(377436, 377472)",+,,
12402,CpxR-phosphorylated DNA-binding-site 8 bases downstream of csgBp2,TU0-45224,DNA-Binding-Sites,"(1103859, 1103874)",+,csgBAC; csgBAC,TU0-45224; TU00390
12403,araBAD terminator,TU00214,Rho-Independent-Terminators,"(65800, 65821)",-,araBAD,TU00214
12404,Nac DNA-binding-site (BS0-9906),javascript:void(0);,DNA-Binding-Sites,"(4460249, 4460266)",,,
12405,tsx terminator,TU00449,Rho-Independent-Terminators,"(431096, 431122)",-,tsx; tsx,TU00449; TU00450
12406,REP325c,REP325C,Repeat-Regions,"(4325903, 4325938)",-,,
12407,CsgD DNA-binding-site 47 bases upstream of adrAp,TU0-8872,DNA-Binding-Sites,"(403635, 403646)",+,adrA,TU0-8872
12408,cysB terminator,TU00077,Rho-Independent-Terminators,"(1334845, 1334874)",+,cysB,TU00077
12409,PurR-hypoxanthine DNA-binding-site 11.5 bases downstream of speAp,TU00204,DNA-Binding-Sites,"(3086030, 3086046)",-,speAB,TU00204
12410,talB terminator,TU0-8121,Rho-Independent-Terminators,"(9199, 9226)",+,talB,TU0-8121
12411,REP321c,REP321C,Repeat-Regions,"(4295949, 4295985)",+,,
12412,GntR DNA-binding-site 86.5 bases downstream of gntTp2,TU0-4928,DNA-Binding-Sites,"(3546522, 3546542)",+,gntT; gntT; gntT,TU0-4928; TU0-4927; TU00229
12413,agp terminator,TU0-7401,Rho-Independent-Terminators,"(1066833, 1066857)",+,agp,TU0-7401
12414,DnaA-ATP DNA-binding-site 13 bases downstream of yjeVp,TU0-14738,DNA-Binding-Sites,"(4392744, 4392753)",+,yjeV,TU0-14738
12415,asr terminator,TU0-45276,Rho-Independent-Terminators,"(1671703, 1671720)",+,asr; asr,TU0-45276; TU0-1701
12416,REPv82b,REPV82B,Repeat-Regions,"(899766, 899794)",-,,
12417,NarL-Pasp59 DNA-binding-site 22 bases upstream of nrfAp,TU00199,DNA-Binding-Sites,"(4287646, 4287653)",+,nrfABCDEFG,TU00199
12418,mdoGH terminator,TU0-45174,Rho-Independent-Terminators,"(1113532, 1113560)",+,mdoGH; mdoGH; mdoGH,TU0-45174; TU00297; TU0-4143
12419,CpxR-phosphorylated DNA-binding-site 98 bases upstream of acrDp2,TU0-14793,DNA-Binding-Sites,"(2587446, 2587459)",+,acrD,TU0-14793
12420,yccA terminator,TU0-13105,Rho-Independent-Terminators,"(1030701, 1030755)",-,yccA,TU0-13105
12421,REP316c,REP316C,Repeat-Regions,"(4249413, 4249446)",-,,
12422,Lrp DNA-binding-site (BS0-10367),javascript:void(0);,DNA-Binding-Sites,,,,
12423,ihfB terminator,TU0-45280,Rho-Independent-Terminators,"(964119, 964173)",+,ihfB; ihfB; rpsA-ihfB; rpsA-ihfB,TU0-45280; TU00175; TU565; TU564
12424,H-NS DNA-binding-site 240.5 bases downstream of mdtJp,TU0-13343,DNA-Binding-Sites,"(1673535, 1673545)",-,mdtUJI,TU0-13343
12425,asnU terminator,TU00498,Rho-Independent-Terminators,"(2059930, 2059966)",+,asnU,TU00498
12426,REPv43b,REPV43B,Repeat-Regions,"(490029, 490057)",-,,
12427,ArcA-Pasp54 DNA-binding-site (BS0-9458),javascript:void(0);,DNA-Binding-Sites,"(771272, 771287)",,,
12428,lysQ terminator (TERM0-1234),TU0-13036,Rho-Independent-Terminators,"(781809, 781843)",+,lysQ,TU0-13036
12429,Nac DNA-binding-site 25 bases downstream of gdhAp,TU0-1201,DNA-Binding-Sites,"(1842325, 1842340)",+,gdhA,TU0-1201
12430,serS terminator,TU0-13080,Rho-Independent-Terminators,"(940741, 940765)",+,serS,TU0-13080
12431,REP309c,REP309C,Repeat-Regions,"(4153471, 4153506)",+,,
12432,Nac DNA-binding-site (BS0-9890),javascript:void(0);,DNA-Binding-Sites,"(3317790, 3317807)",,,
12433,pflA terminator,TU0-13083,Rho-Independent-Terminators,"(950301, 950330)",-,pflA,TU0-13083
12434,Fnr DNA-binding-site regulating uxaCp2,TU0-5021,DNA-Binding-Sites,,-,uxaCA,TU0-5021
12435,ribA terminator,TU0-1742,Rho-Independent-Terminators,"(1338512, 1338548)",-,ribA; ribA,TU0-1742; TU0-1741
12436,REPv305b,REPV305B,Repeat-Regions,"(4128021, 4128049)",-,,
12437,MarA DNA-binding-site 38.5 bases upstream of nfop,TU00189,DNA-Binding-Sites,"(2250758, 2250778)",+,nfo,TU00189
12438,gadXW terminator,TU0-14433,Rho-Independent-Terminators,"(3663541, 3663571)",-,gadXW; gadW; gadW,TU0-14433; TU0-14719; TU0-14718
12439,TrpR-trp DNA-binding-site 3.5 bases upstream of trpLp,TU0-42510,DNA-Binding-Sites,"(1323103, 1323121)",-,trpL; trpLEDCBA,TU0-42510; TU00067
12440,xapR terminator (TERM0-1121),TU792,Rho-Independent-Terminators,"(2521334, 2521358)",-,xapR; xapR,TU792; TU791
12441,REP299h,REP299H,Repeat-Regions,"(4094634, 4094669)",+,,
12442,Lrp-leu DNA-binding-site 304.5 bases upstream of yojIp,TU0-13560,DNA-Binding-Sites,"(2308940, 2308952)",-,yojI,TU0-13560
12443,istR-1 terminator,TU0-7182,Rho-Independent-Terminators,"(3853118, 3853144)",-,istR-1; istR-2,TU0-7182; TU0-7181
12444,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 175.5 bases upstream of mtlAp,TU00193,DNA-Binding-Sites,"(3772002, 3772024)",+,mtlADR,TU00193
12445,gpt terminator,TU0-14680,Rho-Independent-Terminators,"(256442, 256474)",+,gpt,TU0-14680
12446,REPv261b,REPV261B,Repeat-Regions,"(3639279, 3639307)",-,,
12447,Cra DNA-binding-site 563.5 bases upstream of csgDp3,TU0-45257,DNA-Binding-Sites,"(1103899, 1103917)",-,csgDEFG; csgDEFG,TU0-45257; TU00392
12448,trmA terminator,TU00430,Rho-Independent-Terminators,"(4162137, 4162164)",-,trmA,TU00430
12449,Lrp DNA-binding-site (BS0-10351),javascript:void(0);,DNA-Binding-Sites,,,,
12450,speD terminator,TU0-44215,Rho-Independent-Terminators,"(134756, 134783)",-,speD; yacC-speED,TU0-44215; TU00359
12451,REP291d,REP291D,Repeat-Regions,"(4027471, 4027504)",-,,
12452,PdeL DNA-binding-site 189 bases upstream of pdeLp2,TU0-14408,DNA-Binding-Sites,"(331672, 331696)",+,pdeL,TU0-14408
12453,aroP terminator,TU00012,Rho-Independent-Terminators,"(120144, 120168)",-,aroP; aroP,TU00012; TU641
12454,TyrR DNA-binding-site 95.5 bases upstream of tyrRp,TU00068,DNA-Binding-Sites,"(1386588, 1386606)",+,tyrR,TU00068
12455,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ terminator,TU00347,Rho-Independent-Terminators,"(3448267, 3448285)",-,rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,TU00347
12456,REPv234b,REPV234B,Repeat-Regions,"(3252135, 3252163)",-,,
12457,PhoP-Pasp51 DNA-binding-site (BS0-10785),javascript:void(0);,DNA-Binding-Sites,,,,
12458,dcuB-fumB terminator,TU00468,Rho-Independent-Terminators,"(4345631, 4345650)",-,dcuB-fumB; dcuB-fumB; fumB,TU00468; TU0-4562; TU00159
12459,Nac DNA-binding-site (BS0-9874),javascript:void(0);,DNA-Binding-Sites,"(3322472, 3322489)",,,
12460,yecM-cutC terminator,TU00451,Rho-Independent-Terminators,"(1958447, 1958473)",-,yecM-cutC,TU00451
12461,REP278b,REP278B,Repeat-Regions,"(3841927, 3841945)",-,,
12462,IHF DNA-binding-site 44 bases upstream of dcuDp2,TU0-8761,DNA-Binding-Sites,"(3374533, 3374546)",+,dcuD,TU0-8761
12463,rnb terminator,TU582,Rho-Independent-Terminators,"(1346942, 1346968)",-,rnb; rnb,TU582; TU583
12464,IHF DNA-binding-site 54 bases downstream of ihfAp4,TU00174,DNA-Binding-Sites,"(1795662, 1795675)",-,ihfA,TU00174
12465,ruvAB terminator (TERM0921),TU00353,Rho-Independent-Terminators,"(1944273, 1944303)",-,ruvAB; ruvAB,TU00353; TU0-6661
12466,REPv183a,REPV183A,Repeat-Regions,"(2654971, 2654999)",+,,
12467,IHF DNA-binding-site 31 bases upstream of ibpBp,TU0-5001,DNA-Binding-Sites,"(3867006, 3867019)",-,ibpB,TU0-5001
12468,rpsI terminator,TU0-42202,Rho-Independent-Terminators,"(3377756, 3377782)",-,rpsI; rplM-rpsI,TU0-42202; TU00336
12469,GalS-galactose DNA-binding-site 207.5 bases upstream of galPp,TU0-7081,DNA-Binding-Sites,"(3088040, 3088056)",+,galP,TU0-7081
12470,bglG attenuator,TU0-42564,Rho-Independent-Terminators,"(3905636, 3905687)",-,bglG; bglG,TU0-42564; TU0-42515
12471,REP267a,REP267A,Repeat-Regions,"(3708273, 3708306)",-,,
12472,SlyA DNA-binding-site 44.5 bases upstream of hlyEp,TU581,DNA-Binding-Sites,"(1230505, 1230517)",-,hlyE,TU581
12473,rnpB terminator (TERM0283),TU543,Rho-Independent-Terminators,"(3270188, 3270201)",-,rnpB,TU543
12474,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 6.5 bases downstream of ampD,TU00237,DNA-Binding-Sites,"(118698, 118720)",+,ampDE; nadC,TU00237; TU0-12812
12475,fhuE terminator,TU0-2581,Rho-Independent-Terminators,"(1159325, 1159346)",-,fhuE,TU0-2581
12476,REPv118b,REPV118B,Repeat-Regions,"(1534930, 1534958)",-,,
12477,Lrp DNA-binding-site (BS0-10335),javascript:void(0);,DNA-Binding-Sites,,,,
12478,rhoL-rho terminator,TU0-6941,Rho-Independent-Terminators,"(3967677, 3967731)",+,rhoL-rho,TU0-6941
12479,Fis DNA-binding-site 87 bases downstream of cspAp1,TU0-1581,DNA-Binding-Sites,"(3719968, 3719983)",+,cspA,TU0-1581
12480,mngR terminator,TU00408,Rho-Independent-Terminators,"(765104, 765158)",-,mngR,TU00408
12481,REP259b,REP259B,Repeat-Regions,"(3598463, 3598496)",-,,
12482,ArgR-arg DNA-binding-site (BS0-9166),javascript:void(0);,DNA-Binding-Sites,"(2089964, 2090003)",,,
12483,proK terminator (TERM0-1247),TU00519,Rho-Independent-Terminators,"(3708409, 3708447)",-,proK,TU00519
12484,NhaR-Na+ DNA-binding-site regulating rrsHp1,TU0-1189,DNA-Binding-Sites,,+,rrsH-ileV-alaV-rrlH-rrfH,TU0-1189
12485,xylE terminator,TU0-14113,Rho-Independent-Terminators,"(4240734, 4240777)",-,xylE,TU0-14113
12486,REPt74,REPT74,Repeat-Regions,"(819759, 819785)",+,,
12487,Nac DNA-binding-site (BS0-9858),javascript:void(0);,DNA-Binding-Sites,"(866386, 866403)",,,
12488,mrcA terminator,TU0-8822,Rho-Independent-Terminators,"(3525426, 3525448)",+,mrcA,TU0-8822
12489,H-NS DNA-binding-site regulating appYp1,TU0-8479,DNA-Binding-Sites,,+,appY,TU0-8479
12490,argS terminator,TU0-13444,Rho-Independent-Terminators,"(1961817, 1961843)",+,argS,TU0-13444
12491,REP245c,REP245C,Repeat-Regions,"(3392169, 3392202)",+,,
12492,Cra DNA-binding-site 166.5 bases upstream of aceBp,TU00001,DNA-Binding-Sites,"(4215227, 4215245)",+,aceBAK,TU00001
12493,rmf terminator,TU0-42483,Rho-Independent-Terminators,"(1015900, 1015924)",+,rmf,TU0-42483
12494,GntR DNA-binding-site 15.5 bases downstream of gntKp,TU0-42512,DNA-Binding-Sites,"(3577621, 3577641)",-,gntK; gntKU,TU0-42512; TU00228
12495,selD-topB terminator,TU0-14798,Rho-Independent-Terminators,"(1844937, 1844959)",-,selD-topB,TU0-14798
12496,REPt330,REPT330,Repeat-Regions,"(4386020, 4386039)",+,,
12497,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of murQp,TU0-45211,DNA-Binding-Sites,"(2545651, 2545673)",+,murQP; murQP; murQP,TU0-45211; TU0-14715; TU0-14714
12498,glmY terminator,TU0-14775,Rho-Independent-Terminators,"(2691157, 2691185)",-,glmY; glmY,TU0-14775; TU0-13666
12499,Fnr DNA-binding-site 18.5 bases upstream of tpxp,TU544,DNA-Binding-Sites,"(1388856, 1388870)",-,tpx,TU544
12500,yicC terminator,TU0-14001,Rho-Independent-Terminators,"(3817574, 3817603)",+,yicC,TU0-14001
12501,REP236b,REP236B,Repeat-Regions,"(3255285, 3255320)",-,,
12502,CsgD DNA-binding-site 15.5 bases downstream of ubiTp2,TU0-14656,DNA-Binding-Sites,"(3301280, 3301294)",-,ubiT-yhbS,TU0-14656
12503,feaB terminator,TU0-8795,Rho-Independent-Terminators,"(1449037, 1449063)",+,feaB,TU0-8795
12504,Lrp DNA-binding-site (BS0-10319),javascript:void(0);,DNA-Binding-Sites,,,,
12505,tatABC terminator,TU0-42519,Rho-Independent-Terminators,"(4023516, 4023537)",+,tatABC,TU0-42519
12506,REPt275,REPT275,Repeat-Regions,"(3815098, 3815119)",+,,
12507,PgrR DNA-binding-site regulating ycjGp,TU0-8693,DNA-Binding-Sites,,+,ycjG,TU0-8693
12508,pspF terminator,TU0-1805,Rho-Independent-Terminators,"(1366818, 1366913)",-,pspF; pspF; pspF,TU0-1805; TU0-1803; TU0-1802
12509,StpA DNA-binding-site 46 bases upstream of casAp,TU0-13725,DNA-Binding-Sites,"(2884358, 2884373)",-,casABCDE12,TU0-13725
12510,pheLA terminator,TU0-6653,Rho-Independent-Terminators,"(2738912, 2738940)",,pheLA; aroF-tyrA,TU0-6653; TU00008
12511,REP227,REP227,Repeat-Regions,"(3214893, 3214925)",-,,
12512,FlhDC DNA-binding-site (BS0-10753),javascript:void(0);,DNA-Binding-Sites,"(4215486, 4215528)",,,
12513,rpsMKD-rpoA-rplQ terminator,TU0-14658,Rho-Independent-Terminators,"(3439581, 3439595)",-,rpsMKD-rpoA-rplQ; rpsMKD-rpoA-rplQ,TU0-14658; TU00349
12514,Nac DNA-binding-site (BS0-9842),javascript:void(0);,DNA-Binding-Sites,"(541670, 541687)",,,
12515,htpG terminator,TU00402,Rho-Independent-Terminators,"(496998, 497029)",+,htpG; htpG,TU00402; TU00401
12516,REPt224,REPT224,Repeat-Regions,"(3181591, 3181614)",+,,
12517,H-NS DNA-binding-site regulating fimBp2,TU00410,DNA-Binding-Sites,,+,fimB,TU00410
12518,fliDST terminator,TU00274,Rho-Independent-Terminators,"(2006111, 2006165)",+,fliDST,TU00274
12519,CytR DNA-binding-site 61 bases upstream of udpP,TU00134,DNA-Binding-Sites,"(4016321, 4016340)",+,udp,TU00134
12520,hupB terminator (TERM164),TU490,Rho-Independent-Terminators,"(461759, 461778)",+,hupB; hupB; hupB; hupB,TU490; TU489; TU488; TU487
12521,REP214b,REP214B,Repeat-Regions,"(3082757, 3082792)",+,,
12522,Fnr DNA-binding-site 105.5 bases upstream of hyfAp,TU686,DNA-Binding-Sites,"(2601059, 2601073)",+,hyfABCDEFGHIJR-focB,TU686
12523,glnS terminator,TU0-45210,Rho-Independent-Terminators,"(707954, 707978)",+,glnS; glnS; glnS,TU0-45210; TU0-14467; TU0-6504
12524,AsnC DNA-binding-site 54.5 bases upstream of asnCp,TU0-14263,DNA-Binding-Sites,"(3927079, 3927093)",-,asnC-mioC-mnmG; asnC-mioC; asnC; asnA,TU0-14263; TU0-14262; TU00113; TU00112
12525,malZ terminator (TERM0583),TU0-5402,Rho-Independent-Terminators,"(424530, 424553)",+,malZ,TU0-5402
12526,REPt196,REPT196,Repeat-Regions,"(2837466, 2837492)",+,,
12527,Fis DNA-binding-site 141 bases downstream of hupBp3,TU489,DNA-Binding-Sites,"(461465, 461480)",+,hupB; hupB,TU489; TU488
12528,tonB terminator,TU00167,Rho-Independent-Terminators,"(1311815, 1311846)",+,tonB,TU00167
12529,GadW DNA-binding-site 98.5 bases upstream of gadBp2,TU0-45231,DNA-Binding-Sites,"(1572161, 1572181)",-,gadBC; gadBC,TU0-45231; TU369
12530,galETKM terminator (TERM0-1297),TU0-45179,Rho-Independent-Terminators,"(787767, 787790)",-,galETKM,TU0-45179
12531,REP19d,REP19D,Repeat-Regions,"(248302, 248335)",-,,
12532,Lrp DNA-binding-site (BS0-10303),javascript:void(0);,DNA-Binding-Sites,,,,
12533,yceB terminator,TU0-13129,Rho-Independent-Terminators,"(1122675, 1122729)",-,yceB,TU0-13129
12534,DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-8491),javascript:void(0);,DNA-Binding-Sites,,,,
12535,motRAB-cheAW terminator,TU00303,Rho-Independent-Terminators,"(1972771, 1972825)",-,motRAB-cheAW,TU00303
12536,REPt137,REPT137,Repeat-Regions,"(1939100, 1939129)",+,,
12537,Phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 73 bases upstream of mdhp1,TU00108,DNA-Binding-Sites,"(3384381, 3384392)",-,mdh,TU00108
12538,alaWX terminator,TU00514,Rho-Independent-Terminators,"(2518002, 2518041)",-,alaWX,TU00514
12539,CpxR-phosphorylated DNA-binding-site (BS0-10736),javascript:void(0);,DNA-Binding-Sites,"(2460444, 2460459)",,,
12540,sppA terminator,TU0-13391,Rho-Independent-Terminators,"(1850701, 1850738)",+,sppA,TU0-13391
12541,REP185,REP185,Repeat-Regions,"(2673777, 2673810)",+,,
12542,Nac DNA-binding-site (BS0-9826),javascript:void(0);,DNA-Binding-Sites,"(2576022, 2576039)",,,
12543,serT terminator (TERM0-1207),TU00509,Rho-Independent-Terminators,"(1031551, 1031574)",-,serT,TU00509
12544,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 17.5 bases downstream of malIp,TU00187,DNA-Binding-Sites,"(1699201, 1699223)",-,malI; malXY,TU00187; TU00132
12545,degS terminator,TU0-42561,Rho-Independent-Terminators,"(3383281, 3383316)",+,degS,TU0-42561
12546,REPt106,REPT106,Repeat-Regions,"(1190581, 1190603)",+,,
12547,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of fucPp,TU00128,DNA-Binding-Sites,"(2934068, 2934090)",+,fucPIKUR,TU00128
12548,dosCP terminator,TU0-8478,Rho-Independent-Terminators,"(1563276, 1563301)",-,dosCP,TU0-8478
12549,ArcA-Pasp54 DNA-binding-site 16 bases downstream of ydeAp,TU0-1421,DNA-Binding-Sites,"(1616963, 1616978)",+,ydeA,TU0-1421
12550,mgrR terminator,TU0-14797,Rho-Independent-Terminators,"(1622817, 1622874)",-,mgrR,TU0-14797
12551,REP17b,REP17B,Repeat-Regions,"(244178, 244213)",+,,
12552,ArgP DNA-binding-site 81.5 bases upstream of dapBp1,TU0-6403,DNA-Binding-Sites,"(28252, 28272)",+,dapB,TU0-6403
12553,rrsB-gltT-rrlB-rrfB terminator (TERM0-1115),TU0-45275,Rho-Independent-Terminators,"(4171760, 4171803)",+,rrsB-gltT-rrlB-rrfB; rrlB-rrfB; rrsB-gltT-rrlB-rrfB; rrsB-gltT-rrlB-rrfB,TU0-45275; TU0-14528; TU0-3364; TU0-1182
12554,Lrp DNA-binding-site 10 bases downstream of dadAp2,TU00255,DNA-Binding-Sites,"(1237527, 1237542)",+,dadAX; dadAX; dadAX,TU00255; TU462; TU461
12555,pstS terminator,TU0-45215,Rho-Independent-Terminators,"(3910443, 3910473)",-,pstS; pstS,TU0-45215; TU0-14692
12556,REP8a,REP8A,Repeat-Regions,"(111431, 111464)",-,,
12557,GadX DNA-binding-site 81.5 bases upstream of slpp,TU00096,DNA-Binding-Sites,"(3653845, 3653865)",+,slp-dctR,TU00096
12558,thrL attenuator,TU0-42486,Rho-Independent-Terminators,"(274, 310)",+,thrL,TU0-42486
12559,Lrp DNA-binding-site (BS0-10287),javascript:void(0);,DNA-Binding-Sites,,,,
12560,ileS-lspA-fkpB-ispH terminator,TU0-14465,Rho-Independent-Terminators,"(27252, 27279)",+,ileS-lspA-fkpB-ispH; lsp-fkpB-ispH; ileS-lspA-fkpB-ispH; ileS-lspA-fkpB-ispH; ribF-ileS-lspA-fkpB-ispH,TU0-14465; TU0-14253; TU0-14395; TU0-14394; TU00291
12561,REP169b,REP169B,Repeat-Regions,"(2430978, 2431013)",-,,
12562,NimR DNA-binding-site 29.5 bases upstream of nimRp,TU0-8713,DNA-Binding-Sites,"(1875623, 1875637)",-,yeaM; nimT,TU0-8713; TU0-13404
12563,pheM attenuator,TU0-8856,Rho-Independent-Terminators,"(1799161, 1799176)",-,pheM; rplT-pheM,TU0-8856; TU0-8855
12564,LeuO DNA-binding-site regulating ybeQ,TU0-8561,DNA-Binding-Sites,"(676670, 676703)",-,ybeQ,TU0-8561
12565,accBC terminator,TU0-42603,Rho-Independent-Terminators,"(3407286, 3407302)",+,accBC; accBC,TU0-42603; TU00231
12566,REP72b,REP72B,Repeat-Regions,"(805857, 805890)",-,,
12567,CpxR-phosphorylated DNA-binding-site (BS0-10720),javascript:void(0);,DNA-Binding-Sites,"(2349591, 2349607)",,,
12568,xapAB terminator,TU0-45226,Rho-Independent-Terminators,"(2522698, 2522720)",-,xapAB; xapB; xapB; xapAB,TU0-45226; TU0-44212; TU0-44211; TU301
12569,Nac DNA-binding-site (BS0-9810),javascript:void(0);,DNA-Binding-Sites,"(771125, 771142)",,,
12570,clpPX terminator,TU0-14490,Rho-Independent-Terminators,"(458731, 458755)",+,clpPX; clpPX; clpPX,TU0-14490; TU00419; TU00251
12571,REP161k,REP161K,Repeat-Regions,"(2304983, 2305016)",-,,
12572,NarL-Pasp59 DNA-binding-site 112 bases upstream of aspAp,TU0-6021,DNA-Binding-Sites,"(4368541, 4368548)",-,aspA-dcuA; aspA,TU0-6021; TU00160
12573,rpsU terminator,TU00472,Rho-Independent-Terminators,"(3211042, 3211072)",+,rpsU,TU00472
12574,ArcA-Pasp54 DNA-binding-site regulating fumCp2,TU00105,DNA-Binding-Sites,,-,fumC,TU00105
